"sæson","hold","niveau_denne_sæson","placering","hændelse","kval_modstander","kval_resultat","niveau_næste_sæson_algoritme","niveau_næste_sæson_faktisk","christoffer_bekræftet","source_league_group_id","source_group_name_raw","source_group_type","source_match_id","related_qualification_group_ids"
"2013/2014","Højbjerg (O)","Ligaen","10","automatisk nedrykning","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","","3596"
"2013/2014","Ikast","1. division","1","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","2755","Grundspil","grundspil","","3596"
"2013/2014","Aalborg Triton","1. division","2","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","1. division","","2755","Grundspil","grundspil","","3596"
"2013/2014","Solrød Strand 2 (O)","1. division","3","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","1. division","","2755","Grundspil","grundspil","","3595"
"2013/2014","Lillerød (N)","1. division","4","1. divisions nedrykningsspil mod 2. division; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","1. division","","2755","Grundspil","grundspil","","3595"
"2013/2014","KMB2010 (O)","1. division","5","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","2755","Grundspil","grundspil","","3595"
"2013/2014","Gentofte 2","1. division","6","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","2. division","","2755","Grundspil","grundspil","","3595"
"2013/2014","Værløse 2","1. division","7","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","2755","Grundspil","grundspil","","3595"
"2013/2014","Hvidovre","1. division","8","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","2. division","","2755","Grundspil","grundspil","","3595"
"2013/2014","Skovshoved 2","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","2602","Pulje 1","grundspil","","3581"
"2013/2014","Hillerød","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","2602","Pulje 1","grundspil","","3581"
"2013/2014","Holte","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","2602","Pulje 1","grundspil","","3581"
"2013/2014","Greve 2","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","2602","Pulje 1","grundspil","","3581"
"2013/2014","Holbæk","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","2602","Pulje 1","grundspil","",""
