"season","matchId","team","opponent","category","source"
"2020","388019","Gladsaxe Søborg 1","Vanløse 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,388019,1093,"
"2020","388020","Gladsaxe Søborg 1","Drive 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,388020,1093,"
"2020","388024","Gladsaxe Søborg 1","Lyngby 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,388024,1093,"
"2020","388044","Gladsaxe Søborg 2","Frederiksberg 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,388044,1093,"
"2020","388049","Gladsaxe Søborg 2","KBK Kbh. 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,388049,1093,"
"2020","388054","Gladsaxe Søborg 2","Søvang 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,388054,1093,"
"2020","388063","Gladsaxe Søborg 2","Posten Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,388063,1093,"
"2020","403986","Gladsaxe Søborg 1","BK36 Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13302,1,8,,403986,1093,"
"2020","403990","Gladsaxe Søborg 1","FKIF Frederiksberg 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,403990,1093,"
"2020","403996","Gladsaxe Søborg 1","Hvidovre 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,403996,1093,"
"2020","403998","Gladsaxe Søborg 2","Lyngby 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,403998,1093,"
"2020","404003","Gladsaxe Søborg 2","Sct. Jørgen Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13312,1,8,,404003,1093,"
"2020","404142","Gladsaxe Søborg 2","BC37 Amager 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13305,1,8,,404142,1093,"
"2020","404143","Gladsaxe Søborg 3","Lyngby 3","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13306,1,8,,404143,1093,"
"2020","404147","Gladsaxe Søborg 4","Vanløse 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,404147,1093,"
"2020","404672","Gladsaxe Søborg 1","Hvidovre 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13302,1,8,,404672,1093,"
"2020","404710","Gladsaxe Søborg 2","Charlottenlund 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13305,1,8,,404710,1093,"
"2020","404714","Gladsaxe Søborg 4","Lyngby 4","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,404714,1093,"
